order_menu_id,order_id,meal_id
1,1,14
2,1,19
3,2,13
4,2,6
5,3,4
6,3,19
7,3,7
8,4,1
9,4,13
10,5,16
11,6,5
12,6,1
13,6,19
14,7,19
15,7,5
16,7,12
17,8,19
18,8,15
19,8,17
20,9,6
21,9,1
22,10,9
23,10,9
24,11,1
25,11,9
26,12,14
27,13,7
28,13,2
29,14,6
30,14,10
31,15,13
32,16,10
33,16,18
34,17,5
35,17,12
36,17,9
37,18,5
38,18,14
39,18,7
40,19,15
41,19,10
42,20,12
43,20,11
44,21,13
45,21,1
46,21,19
47,22,10
48,22,18
49,23,5
50,24,15
51,25,11
52,25,8
53,26,8
54,26,7
55,26,7
56,27,9
57,28,17
58,28,10
59,29,7
60,30,11
61,31,14
62,31,1
63,31,11
64,32,18
65,32,14
66,32,9
67,33,19
68,33,8
69,34,1
70,35,8
71,35,16
72,35,19
73,36,11
74,36,5
75,36,15
76,37,16
77,37,3
78,38,4
79,38,5
80,39,16
81,39,13
82,40,10
83,41,6
84,41,19
85,42,13
86,42,15
87,43,13
88,44,19
89,44,1
90,45,18
91,45,12
92,46,15
93,46,12
94,47,12
95,47,14
96,48,8
97,48,10
98,48,3
99,49,11
100,49,10
101,50,15
102,50,10
103,51,2
104,51,13
105,52,11
106,52,8
107,52,18
108,53,15
109,53,17
110,53,12
111,54,7
112,54,1
113,54,18
114,55,18
115,55,12
116,55,15
117,56,11
118,56,17
119,56,19
120,57,11
121,57,1
122,58,15
123,58,1
124,59,9
125,59,2
126,59,18
127,60,7
128,60,8
129,60,11
130,61,3
131,61,10
132,62,5
133,62,2
134,63,19
135,63,9
136,64,16
137,65,4
138,65,6
139,65,14
140,66,16
141,66,2
142,67,3
143,67,3
144,67,16
145,68,14
146,68,8
147,68,18
148,69,9
149,69,4
150,69,11
151,70,1
152,71,18
153,71,9
154,71,16
155,72,1
156,72,14
157,73,6
158,74,4
159,74,17
160,74,3
161,75,14
162,76,7
163,77,7
164,77,3
165,77,12
166,78,18
167,78,8
168,78,8
169,79,3
170,79,7
171,79,16
172,80,5
173,80,1
174,81,12
