payment_id,order_id,total_price,payment_type
1,1,19.7,Meal Swipe
2,2,15.0,Credit
3,3,10.7,Debit
4,4,21.3,Meal Swipe
5,5,5.4,Debit
6,6,22.0,Debit
7,7,21.9,Credit
8,8,9.0,Cash
9,9,10.3,Debit
10,10,10.4,Meal Swipe
11,11,15.0,Gift Card
12,12,17.2,Cash
13,13,16.0,Meal Swipe
14,14,10.5,Gift Card
15,15,13.0,Credit
16,16,10.8,Debit
17,17,24.6,Gift Card
18,18,34.6,Meal Swipe
19,19,12.9,Gift Card
20,20,19.4,Debit
21,21,23.8,Meal Swipe
22,22,10.8,Cash
23,23,11.2,Meal Swipe
24,24,4.4,Gift Card
25,25,19.2,Credit
26,26,20.4,Cash
27,27,5.2,Debit
28,28,10.6,Credit
29,29,6.2,Meal Swipe
30,30,11.2,Credit
31,31,36.7,Credit
32,32,24.7,Credit
33,33,10.5,Meal Swipe
34,34,8.3,Gift Card
35,35,15.9,Meal Swipe
36,36,26.8,Gift Card
37,37,16.7,Credit
38,38,13.2,Meal Swipe
39,39,18.4,Credit
40,40,8.5,Gift Card
41,41,4.5,Credit
42,42,17.4,Meal Swipe
43,43,13.0,Meal Swipe
44,44,10.8,Credit
45,45,10.5,Credit
46,46,12.6,Gift Card
47,47,25.4,Credit
48,48,27.8,Meal Swipe
49,49,19.7,Debit
50,50,12.9,Debit
51,51,22.8,Meal Swipe
52,52,21.5,Debit
53,53,14.7,Credit
54,54,16.8,Meal Swipe
55,55,14.9,Cash
56,56,15.8,Meal Swipe
57,57,19.5,Credit
58,58,12.7,Cash
59,59,17.3,Gift Card
60,60,25.4,Debit
61,61,19.8,Cash
62,62,21.0,Meal Swipe
63,63,7.7,Gift Card
64,64,5.4,Cash
65,65,21.2,Gift Card
66,66,15.2,Meal Swipe
67,67,29.5,Credit
68,68,27.5,Gift Card
69,69,18.4,Gift Card
70,70,8.3,Gift Card
71,71,12.9,Credit
72,72,27.0,Credit
73,73,2.0,Gift Card
74,74,15.4,Meal Swipe
75,75,17.2,Credit
76,76,6.2,Debit
77,77,27.2,Debit
78,78,18.3,Credit
79,79,22.9,Debit
80,80,19.5,Credit
81,81,15.7,Cash
82,82,26.3,Debit
83,83,2.0,Credit
84,84,6.9,Credit
85,85,12.1,Credit
86,86,5.4,Cash
87,87,13.6,Credit
88,88,10.5,Meal Swipe
89,89,17.2,Debit
90,90,6.2,Debit
91,91,9.8,Meal Swipe
92,92,7.4,Credit
93,93,12.8,Gift Card
94,94,6.2,Credit
95,95,15.1,Gift Card
96,96,29.3,Gift Card
97,97,30.5,Meal Swipe
98,98,9.2,Debit
99,99,5.2,Debit
100,100,13.5,Meal Swipe
101,101,11.2,Gift Card
102,102,29.6,Meal Swipe
103,103,12.7,Cash
104,104,6.2,Meal Swipe
105,105,34.2,Debit
106,106,18.4,Credit
107,107,10.1,Debit
108,108,11.2,Debit
109,109,9.8,Debit
110,110,32.5,Meal Swipe
111,111,4.3,Debit
112,112,2.1,Credit
113,113,8.2,Credit
114,114,8.5,Cash
115,115,36.7,Credit
116,116,11.3,Cash
117,117,16.4,Cash
118,118,6.9,Cash
119,119,11.3,Credit
120,120,10.6,Credit
121,121,13.7,Debit
122,122,26.2,Cash
123,123,11.3,Meal Swipe
124,124,11.2,Cash
125,125,10.6,Credit
126,126,29.4,Credit
127,127,19.8,Cash
128,128,15.0,Meal Swipe
129,129,30.2,Debit
130,130,11.2,Debit
131,131,13.7,Gift Card
132,132,16.5,Debit
133,133,26.2,Cash
134,134,10.8,Credit
135,135,8.2,Credit
136,136,11.2,Debit
137,137,4.4,Cash
138,138,2.5,Gift Card
139,139,13.0,Meal Swipe
140,140,15.7,Debit
141,141,16.7,Gift Card
142,142,16.6,Meal Swipe
143,143,12.6,Credit
144,144,2.3,Debit
145,145,17.5,Meal Swipe
146,146,6.4,Meal Swipe
147,147,19.0,Gift Card
148,148,21.1,Meal Swipe
149,149,12.8,Debit
150,150,7.5,Debit
151,151,30.7,Credit
152,152,13.6,Cash
153,153,8.0,Meal Swipe
154,154,2.0,Debit
155,155,42.4,Debit
156,156,11.2,Cash
157,157,5.2,Meal Swipe
158,158,17.5,Credit
159,159,9.2,Credit
160,160,22.0,Cash
161,161,11.2,Gift Card
162,162,8.0,Cash
163,163,11.3,Meal Swipe
164,164,15.7,Meal Swipe
165,165,13.0,Gift Card
166,166,10.7,Gift Card
167,167,5.2,Debit
168,168,16.5,Meal Swipe
169,169,11.2,Debit
170,170,13.0,Meal Swipe
171,171,19.2,Credit
172,172,8.5,Cash
173,173,11.2,Gift Card
174,174,14.2,Credit
175,175,19.2,Cash
176,176,13.7,Debit
177,177,10.6,Meal Swipe
178,178,6.8,Credit
179,179,8.5,Credit
180,180,15.6,Credit
181,181,10.6,Gift Card
182,182,18.3,Cash
183,183,8.0,Gift Card
184,184,7.2,Debit
185,185,16.0,Gift Card
186,186,12.6,Debit
187,187,2.0,Credit
188,188,13.0,Meal Swipe
189,189,18.7,Gift Card
190,190,25.7,Credit
191,191,25.1,Gift Card
192,192,10.6,Meal Swipe
193,193,14.2,Meal Swipe
194,194,11.2,Cash
195,195,13.0,Credit
196,196,16.5,Meal Swipe
197,197,4.4,Gift Card
198,198,6.4,Credit
199,199,23.4,Cash
200,200,19.5,Credit
201,201,10.3,Meal Swipe
202,202,22.2,Debit
203,203,10.8,Debit
204,204,11.2,Cash
205,205,23.6,Debit
206,206,20.4,Cash
207,207,7.2,Debit
208,208,13.2,Credit
209,209,11.2,Credit
210,210,21.5,Gift Card
211,211,12.8,Gift Card
212,212,17.2,Credit
213,213,8.3,Cash
214,214,21.0,Gift Card
215,215,9.3,Debit
216,216,25.5,Cash
217,217,7.4,Debit
218,218,16.6,Credit
219,219,39.7,Credit
220,220,16.0,Debit
221,221,12.4,Credit
222,222,15.6,Meal Swipe
223,223,24.5,Credit
224,224,13.6,Debit
225,225,13.7,Gift Card
226,226,7.4,Debit
227,227,13.3,Meal Swipe
228,228,9.4,Credit
229,229,8.3,Credit
230,230,16.5,Meal Swipe
231,231,11.8,Gift Card
232,232,19.5,Gift Card
233,233,15.0,Credit
234,234,11.2,Credit
235,235,12.7,Debit
236,236,19.5,Gift Card
237,237,17.5,Gift Card
238,238,18.3,Debit
239,239,6.5,Credit
240,240,12.8,Debit
241,241,8.0,Debit
242,242,15.4,Credit
243,243,5.0,Gift Card
244,244,2.0,Gift Card
245,245,7.5,Meal Swipe
246,246,11.9,Debit
247,247,6.2,Meal Swipe
248,248,24.9,Credit
249,249,5.4,Meal Swipe
250,250,31.0,Credit
251,251,2.0,Cash
252,252,25.0,Debit
253,253,5.2,Credit
254,254,13.0,Credit
255,255,7.2,Gift Card
256,256,5.4,Debit
257,257,12.2,Meal Swipe
258,258,20.8,Gift Card
259,259,10.3,Meal Swipe
260,260,5.4,Meal Swipe
261,261,6.5,Credit
262,262,17.1,Gift Card
263,263,27.7,Credit
264,264,17.4,Gift Card
265,265,8.0,Cash
266,266,39.6,Meal Swipe
267,267,8.3,Gift Card
268,268,26.7,Meal Swipe
269,269,19.5,Credit
270,270,24.2,Meal Swipe
271,271,21.8,Debit
272,272,12.6,Debit
273,273,23.6,Credit
274,274,8.2,Gift Card
275,275,8.5,Gift Card
276,276,2.0,Debit
277,277,18.1,Meal Swipe
278,278,10.2,Meal Swipe
279,279,7.2,Meal Swipe
280,280,19.1,Meal Swipe
281,281,25.9,Debit
282,282,15.0,Credit
283,283,11.9,Debit
284,284,21.0,Meal Swipe
285,285,8.0,Meal Swipe
286,286,34.2,Credit
287,287,19.5,Credit
288,288,12.5,Meal Swipe
289,289,8.2,Credit
290,290,23.1,Meal Swipe
291,291,33.8,Cash
292,292,23.6,Meal Swipe
293,293,22.4,Meal Swipe
294,294,21.2,Cash
295,295,5.2,Debit
296,296,13.0,Credit
297,297,21.5,Debit
298,298,6.4,Gift Card
299,299,7.2,Meal Swipe
300,300,30.7,Meal Swipe
301,301,23.8,Cash
302,302,22.4,Meal Swipe
303,303,8.3,Cash
304,304,17.2,Gift Card
305,305,7.3,Meal Swipe
306,306,2.3,Cash
307,307,5.4,Cash
308,308,22.5,Meal Swipe
309,309,5.2,Debit
310,310,21.3,Gift Card
311,311,13.3,Cash
312,312,2.1,Gift Card
313,313,8.5,Cash
314,314,29.2,Credit
315,315,19.5,Credit
316,316,8.3,Gift Card
317,317,32.5,Debit
318,318,32.7,Debit
319,319,27.8,Credit
320,320,6.2,Credit
321,321,32.2,Credit
322,322,14.4,Meal Swipe
323,323,21.3,Cash
324,324,12.9,Debit
325,325,10.6,Gift Card
326,326,19.4,Credit
327,327,11.2,Cash
328,328,21.8,Gift Card
329,329,7.9,Gift Card
330,330,13.0,Cash
331,331,8.0,Debit
332,332,6.4,Cash
333,333,12.8,Debit
334,334,8.2,Credit
335,335,21.5,Credit
336,336,32.2,Meal Swipe
337,337,4.4,Gift Card
338,338,12.6,Meal Swipe
339,339,11.8,Cash
340,340,8.2,Debit
341,341,32.2,Gift Card
342,342,17.2,Cash
343,343,24.9,Cash
344,344,19.5,Debit
345,345,8.5,Credit
346,346,16.4,Debit
347,347,6.4,Debit
348,348,9.8,Credit
349,349,13.7,Credit
350,350,19.2,Meal Swipe
351,351,13.5,Meal Swipe
352,352,5.2,Debit
353,353,26.4,Credit
354,354,7.2,Debit
355,355,22.8,Debit
356,356,10.5,Credit
357,357,4.3,Debit
358,358,19.3,Credit
359,359,5.2,Debit
360,360,15.5,Meal Swipe
361,361,17.5,Gift Card
362,362,4.4,Gift Card
363,363,14.7,Cash
364,364,28.4,Meal Swipe
365,365,21.6,Cash
366,366,12.9,Debit
367,367,17.5,Cash
368,368,18.6,Credit
369,369,30.0,Meal Swipe
370,370,11.9,Credit
371,371,9.3,Credit
372,372,2.3,Gift Card
373,373,6.2,Debit
374,374,21.7,Gift Card
375,375,4.4,Gift Card
376,376,5.2,Meal Swipe
377,377,11.6,Credit
378,378,2.1,Cash
379,379,17.2,Gift Card
380,380,2.5,Meal Swipe
381,381,19.2,Gift Card
382,382,17.5,Cash
383,383,5.4,Meal Swipe
384,384,10.2,Credit
385,385,19.2,Meal Swipe
386,386,28.7,Meal Swipe
387,387,13.4,Meal Swipe
388,388,19.5,Debit
389,389,21.6,Credit
390,390,22.5,Cash
391,391,2.5,Credit
392,392,8.0,Credit
393,393,11.3,Meal Swipe
394,394,21.8,Meal Swipe
395,395,15.9,Meal Swipe
396,396,7.2,Cash
397,397,10.6,Credit
398,398,12.1,Meal Swipe
399,399,6.2,Credit
400,400,13.7,Credit
401,401,13.8,Gift Card
402,402,24.5,Gift Card
403,403,10.5,Credit
404,404,8.0,Cash
405,405,8.5,Credit
406,406,13.7,Credit
407,407,9.8,Gift Card
408,408,19.7,Credit
409,409,17.8,Debit
410,410,7.9,Debit
411,411,26.6,Meal Swipe
412,412,13.5,Cash
413,413,19.4,Meal Swipe
414,414,2.0,Gift Card
415,415,15.1,Debit
416,416,10.8,Debit
417,417,15.7,Cash
418,418,19.8,Gift Card
419,419,18.5,Debit
420,420,21.0,Meal Swipe
421,421,17.9,Meal Swipe
422,422,5.2,Debit
423,423,12.6,Debit
424,424,32.2,Cash
425,425,19.2,Meal Swipe
426,426,32.3,Meal Swipe
427,427,16.5,Debit
428,428,25.4,Meal Swipe
429,429,16.5,Meal Swipe
430,430,30.4,Gift Card
431,431,2.5,Cash
432,432,11.8,Meal Swipe
433,433,2.0,Debit
434,434,2.0,Cash
